Datetime,CHWC_VLV,CHWC_VLV_DM,MA_TEMP,OA_CFM,OA_DMPR,OA_DMPR_DM,OA_TEMP,RA_CFM,RA_DMPR,RA_DMPR_DM,RA_TEMP,RF_CS,RF_SPD,RF_SPD_DM,RF_WAT,SA_CFM,SA_SP,SA_SPSPT,SA_TEMP,SA_TEMPSPT,SF_CS,SF_SPD,SF_SPD_DM,SF_WAT,SYS_CTL,ZONE_TEMP_1,ZONE_TEMP_2,ZONE_TEMP_3,ZONE_TEMP_4,ZONE_TEMP_5
2018-01-01 01:00:00,0.1,0.0,66.36919,357730.44,0.0,0.0,10.040033,0.8532129,1.0,1.0,68.34175,0.0,0.0,0.0,-2.6172375e-13,-0.94334525,0.21954346,-400.25253,66.36919,55.184006,0.0,0.9,0.0,-2.791637e-13,0.0,73.94652,66.76723,67.0271,66.761345,67.206566
2018-01-01 01:01:00,0.1,0.0,66.36919,357730.44,0.0,0.0,10.055031,0.8530722,1.0,1.0,68.34786,0.0,0.0,0.0,-2.6164016e-13,-0.9431927,0.21951294,-400.25253,66.36919,55.184006,0.0,0.9,0.0,-2.7907253e-13,0.0,73.97777,66.76668,67.025894,66.76129,67.20772
2018-01-01 01:02:00,0.1,0.0,66.36919,357730.44,0.0,0.0,10.070026,0.8529328,1.0,1.0,68.35378,0.0,0.0,0.0,-2.6156114e-13,-0.9430399,0.21948242,-400.25253,66.36919,55.184006,0.0,0.9,0.0,-2.7898227e-13,0.0,74.00836,66.766014,67.02458,66.761185,67.20876
2018-01-01 01:03:00,0.1,0.0,66.36919,357730.44,0.0,0.0,10.085022,0.8527934,1.0,1.0,68.35949,0.0,0.0,0.0,-2.6147276e-13,-0.94289356,0.2194519,-400.25253,66.36919,55.184006,0.0,0.9,0.0,-2.788921e-13,0.0,74.03825,66.765305,67.02315,66.76102,67.20975
2018-01-01 01:04:00,0.1,0.0,66.36919,357730.44,0.0,0.0,10.100019,0.8526551,1.0,1.0,68.36498,0.0,0.0,0.0,-2.6138464e-13,-0.94273186,0.21939087,-400.25253,66.36919,55.184006,0.0,0.9,0.0,-2.788006e-13,0.0,74.06741,66.76453,67.02167,66.76074,67.21057
2018-01-01 01:05:00,0.1,0.0,66.36919,357730.44,0.0,0.0,10.115015,0.85251683,1.0,1.0,68.370316,0.0,0.0,0.0,-2.6129934e-13,-0.9425784,0.21936035,-400.25253,66.36919,55.184006,0.0,0.9,0.0,-2.7871233e-13,0.0,74.09598,66.7637,67.02013,66.76047,67.21129
2018-01-01 01:06:00,0.1,0.0,66.36913,357730.44,0.0,0.0,10.1300125,0.8523809,1.0,1.0,68.37544,0.0,0.0,0.0,-2.6121146e-13,-0.9424188,0.21929932,-400.25253,66.36913,55.184006,0.0,0.9,0.0,-2.7862142e-13,0.0,74.12395,66.76283,67.018425,66.760086,67.211945
2018-01-01 01:07:00,0.1,0.0,66.36913,357730.44,0.0,0.0,10.145008,0.85224146,1.0,1.0,68.38037,0.0,0.0,0.0,-2.6112508e-13,-0.94227004,0.2192688,-400.25253,66.36913,55.184006,0.0,0.9,0.0,-2.7853043e-13,0.0,74.151245,66.76184,67.01666,66.75964,67.21245
2018-01-01 01:08:00,0.1,0.0,66.36913,357730.44,0.0,0.0,10.160004,0.8521055,1.0,1.0,68.38514,0.0,0.0,0.0,-2.6103875e-13,-0.94212425,0.21923828,-400.25253,66.36913,55.184006,0.0,0.9,0.0,-2.784397e-13,0.0,74.17799,66.760796,67.014854,66.75915,67.21288
2018-01-01 01:09:00,0.1,0.0,66.36913,357730.44,0.0,0.0,10.175001,0.851966,1.0,1.0,68.38971,0.0,0.0,0.0,-2.6095814e-13,-0.9419724,0.21920776,-400.25253,66.36913,55.184006,0.0,0.9,0.0,-2.7834834e-13,0.0,74.20415,66.7597,67.01293,66.758545,67.21321
2018-01-01 01:10:00,0.1,0.0,66.36913,357730.44,0.0,0.0,10.189997,0.8518266,1.0,1.0,68.39414,0.0,0.0,0.0,-2.608804e-13,-0.9418148,0.21917725,-400.25253,66.36913,55.184006,0.0,0.9,0.0,-2.7825726e-13,0.0,74.22974,66.7586,67.010956,66.757935,67.213486
2018-01-01 01:11:00,0.1,0.0,66.36913,357730.44,0.0,0.0,10.204994,0.85168713,1.0,1.0,68.39841,0.0,0.0,0.0,-2.6079011e-13,-0.94165826,0.21914673,-400.25253,66.36913,55.184006,0.0,0.9,0.0,-2.7816925e-13,0.0,74.254845,66.757385,67.00893,66.757225,67.21365
2018-01-01 01:12:00,0.1,0.0,66.36913,357730.44,0.0,0.0,10.21999,0.85155004,1.0,1.0,68.40251,0.0,0.0,0.0,-2.6070712e-13,-0.9415004,0.21911621,-400.25253,66.36913,55.184006,0.0,0.9,0.0,-2.7807745e-13,0.0,74.2794,66.75613,67.006775,66.756516,67.21371
2018-01-01 01:13:00,0.1,0.0,66.36913,357730.44,0.0,0.0,10.234985,0.85141295,1.0,1.0,68.40644,0.0,0.0,0.0,-2.6061727e-13,-0.9413617,0.21905518,-400.25253,66.36913,55.184006,0.0,0.9,0.0,-2.7798627e-13,0.0,74.303406,66.75481,67.00458,66.75574,67.21365
2018-01-01 01:14:00,0.1,0.0,66.36908,357730.44,0.0,0.0,10.250038,0.85127586,1.0,1.0,68.41024,0.0,0.0,0.0,-2.605374e-13,-0.94120556,0.21902466,-400.25253,66.36908,55.184006,0.0,0.9,0.0,-2.7789826e-13,0.0,74.326965,66.753494,67.002335,66.75487,67.21355
2018-01-01 01:15:00,0.1,0.0,66.36908,357730.44,0.0,0.0,10.265034,0.8511352,1.0,1.0,68.413895,0.0,0.0,0.0,-2.6044818e-13,-0.94104934,0.21899414,-400.25253,66.36908,55.184006,0.0,0.9,0.0,-2.7780832e-13,0.0,74.35004,66.75206,67.00002,66.75398,67.21338
2018-01-01 01:16:00,0.1,0.0,66.36908,357730.44,0.0,0.0,10.280029,0.85099465,1.0,1.0,68.41739,0.0,0.0,0.0,-2.6037015e-13,-0.940889,0.21896362,-400.25253,66.36908,55.184006,0.0,0.9,0.0,-2.7771844e-13,0.0,74.37267,66.75058,66.997604,66.75299,67.213104
2018-01-01 01:17:00,0.1,0.0,66.36908,357730.44,0.0,0.0,10.295027,0.8508586,1.0,1.0,68.42078,0.0,0.0,0.0,-2.6028252e-13,-0.9407392,0.2189331,-400.25253,66.36908,55.184006,0.0,0.9,0.0,-2.7762848e-13,0.0,74.394806,66.7491,66.99519,66.75201,67.21277
2018-01-01 01:18:00,0.1,0.0,66.36908,357730.44,0.0,0.0,10.310022,0.85072154,1.0,1.0,68.42402,0.0,0.0,0.0,-2.601983e-13,-0.94058967,0.21890259,-400.25253,66.36908,55.184006,0.0,0.9,0.0,-2.7753592e-13,0.0,74.416565,66.74756,66.99266,66.75096,67.21233
2018-01-01 01:19:00,0.1,0.0,66.36908,357730.44,0.0,0.0,10.32502,0.8505798,1.0,1.0,68.427124,0.0,0.0,0.0,-2.6011718e-13,-0.9404365,0.21887207,-400.25253,66.36908,55.184006,0.0,0.9,0.0,-2.7744506e-13,0.0,74.43788,66.745964,66.99008,66.74986,67.21184
2018-01-01 01:20:00,0.1,0.0,66.36908,357730.44,0.0,0.0,10.340015,0.85044384,1.0,1.0,68.4301,0.0,0.0,0.0,-2.6003028e-13,-0.940283,0.21884155,-400.25253,66.36908,55.184006,0.0,0.9,0.0,-2.7735643e-13,0.0,74.4588,66.744316,66.98744,66.74871,67.211235
2018-01-01 01:21:00,0.1,0.0,66.36902,357730.44,0.0,0.0,10.355011,0.8503056,1.0,1.0,68.43296,0.0,0.0,0.0,-2.599471e-13,-0.9401258,0.21881104,-400.25253,66.36902,55.184006,0.0,0.9,0.0,-2.7726524e-13,0.0,74.479294,66.742615,66.98476,66.7475,67.21063
2018-01-01 01:22:00,0.1,0.0,66.36902,357730.44,0.0,0.0,10.370008,0.85016847,1.0,1.0,68.43569,0.0,0.0,0.0,-2.59858e-13,-0.9399822,0.21875,-400.25253,66.36902,55.184006,0.0,0.9,0.0,-2.7717593e-13,0.0,74.499405,66.74086,66.98201,66.74629,67.209915
2018-01-01 01:23:00,0.1,0.0,66.36902,357730.44,0.0,0.0,10.385004,0.8500302,1.0,1.0,68.43833,0.0,0.0,0.0,-2.5978444e-13,-0.93983424,0.21871948,-400.25253,66.36902,55.184006,0.0,0.9,0.0,-2.7708546e-13,0.0,74.51918,66.7391,66.97926,66.74498,67.20915
2018-01-01 01:24:00,0.1,0.0,66.36902,357730.44,0.0,0.0,10.400002,0.8498919,1.0,1.0,68.440834,0.0,0.0,0.0,-2.5969366e-13,-0.93968636,0.21868896,-400.25253,66.36902,55.184006,0.0,0.9,0.0,-2.769956e-13,0.0,74.53857,66.73729,66.9764,66.74365,67.20827
2018-01-01 01:25:00,0.1,0.0,66.36902,357730.44,0.0,0.0,10.414997,0.8497537,1.0,1.0,68.44323,0.0,0.0,0.0,-2.596059e-13,-0.93952453,0.21865845,-400.25253,66.36902,55.184006,0.0,0.9,0.0,-2.7690637e-13,0.0,74.55757,66.73541,66.973495,66.74228,67.20739
2018-01-01 01:26:00,0.1,0.0,66.36902,357730.44,0.0,0.0,10.429993,0.8496165,1.0,1.0,68.44554,0.0,0.0,0.0,-2.5952377e-13,-0.93936634,0.21862793,-400.25253,66.36902,55.184006,0.0,0.9,0.0,-2.7681508e-13,0.0,74.57625,66.73355,66.97058,66.740906,67.206406
2018-01-01 01:27:00,0.1,0.0,66.36902,357730.44,0.0,0.0,10.44499,0.8494771,1.0,1.0,68.44772,0.0,0.0,0.0,-2.5943646e-13,-0.939222,0.21859741,-400.25253,66.36902,55.184006,0.0,0.9,0.0,-2.767262e-13,0.0,74.59465,66.73163,66.96756,66.739426,67.20535
2018-01-01 01:28:00,0.1,0.0,66.36902,357730.44,0.0,0.0,10.459986,0.84933877,1.0,1.0,68.449814,0.0,0.0,0.0,-2.5935656e-13,-0.93906844,0.2185669,-400.25253,66.36902,55.184006,0.0,0.9,0.0,-2.7663494e-13,0.0,74.61267,66.729645,66.96454,66.737946,67.204254
2018-01-01 01:29:00,0.1,0.0,66.36897,357730.44,0.0,0.0,10.475037,0.84920055,1.0,1.0,68.45182,0.0,0.0,0.0,-2.592682e-13,-0.9389121,0.21853638,-400.25253,66.36897,55.184006,0.0,0.9,0.0,-2.7654577e-13,0.0,74.63042,66.727615,66.96146,66.736465,67.20311
2018-01-01 01:30:00,0.1,0.0,66.36897,357730.44,0.0,0.0,10.490034,0.8490634,1.0,1.0,68.4537,0.0,0.0,0.0,-2.591854e-13,-0.93875617,0.21850586,-400.25253,66.36897,55.184006,0.0,0.9,0.0,-2.7645627e-13,0.0,74.64783,66.725586,66.95833,66.73486,67.2019
2018-01-01 01:31:00,0.1,0.0,66.36897,357730.44,0.0,0.0,10.50503,0.8489252,1.0,1.0,68.455505,0.0,0.0,0.0,-2.591048e-13,-0.93860704,0.21847534,-400.25253,66.36897,55.184006,0.0,0.9,0.0,-2.7636847e-13,0.0,74.66496,66.723495,66.95514,66.73328,67.20064
2018-01-01 01:32:00,0.1,0.0,66.36897,357730.44,0.0,0.0,10.520025,0.8487857,1.0,1.0,68.45723,0.0,0.0,0.0,-2.5901777e-13,-0.9384496,0.2184143,-400.25253,66.36897,55.184006,0.0,0.9,0.0,-2.7627922e-13,0.0,74.68178,66.721405,66.95201,66.73163,67.19931
2018-01-01 01:33:00,0.1,0.0,66.36897,357730.44,0.0,0.0,10.535023,0.8486486,1.0,1.0,68.45886,0.0,0.0,0.0,-2.5893285e-13,-0.9383024,0.21838379,-400.25253,66.36897,55.184006,0.0,0.9,0.0,-2.7618733e-13,0.0,74.698364,66.71927,66.94882,66.72992,67.19794
